epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0934,1.19007,2.11653,1.52068,0.12155,0.36965,0.09299,0.03291,2.32492,6.41205,3.31649,0.000412138,0.000412138,0.000412138
2,78.8238,1.46457,1.96882,1.70034,0.11709,0.22143,0.08757,0.03098,2.16753,18.4129,3.47529,0.000820599,0.000820599,0.000820599
3,116.533,1.37277,1.76134,1.62661,0.30557,0.31874,0.22133,0.08601,2.24013,3.03571,2.43294,0.00122081,0.00122081,0.00122081
4,154.465,1.33983,1.72542,1.599,0.44591,0.49781,0.42873,0.20098,1.68271,5.14397,1.91723,0.00121287,0.00121287,0.00121287
5,192.361,1.26435,1.56216,1.54053,0.50781,0.51929,0.52658,0.29543,1.59568,2.38595,1.86301,0.0012005,0.0012005,0.0012005
6,230.294,1.20495,1.4503,1.49591,0.59601,0.51784,0.57294,0.33808,1.43763,1.7397,1.67855,0.00118812,0.00118812,0.00118812
7,268.132,1.11442,1.32604,1.43881,0.69616,0.57345,0.65742,0.36493,1.35886,1.55906,1.63268,0.00117575,0.00117575,0.00117575
8,305.974,1.08736,1.25068,1.40861,0.67443,0.66172,0.68972,0.40209,1.35818,1.52725,1.6185,0.00116337,0.00116337,0.00116337
9,343.924,1.07018,1.1918,1.39701,0.70848,0.64269,0.6788,0.41859,1.30981,1.46404,1.54861,0.001151,0.001151,0.001151
10,381.655,1.04702,1.13442,1.37911,0.66855,0.62851,0.67787,0.38897,1.31766,1.33684,1.55431,0.00113863,0.00113863,0.00113863
11,419.267,1.0474,1.11756,1.37525,0.77223,0.70467,0.77192,0.49084,1.18428,1.17952,1.47138,0.00112625,0.00112625,0.00112625
12,457.026,0.98428,1.04421,1.32602,0.71559,0.73319,0.77798,0.50207,1.27746,1.10077,1.48244,0.00111388,0.00111388,0.00111388
13,494.699,0.96898,1.0078,1.31131,0.75851,0.7324,0.8288,0.52198,1.12993,1.09878,1.37691,0.0011015,0.0011015,0.0011015
14,532.494,0.95021,1.00004,1.30572,0.80685,0.71234,0.78511,0.47676,1.2416,1.16569,1.47469,0.00108913,0.00108913,0.00108913
15,570.123,0.93602,0.95073,1.29247,0.79671,0.75973,0.82721,0.52267,1.11709,1.00269,1.37634,0.00107675,0.00107675,0.00107675
16,607.969,0.891,0.89844,1.26267,0.83197,0.75659,0.83868,0.53821,1.14593,1.04044,1.4016,0.00106437,0.00106437,0.00106437
17,645.779,0.88011,0.88898,1.25015,0.83016,0.78501,0.8249,0.52243,1.12721,0.97368,1.37552,0.001052,0.001052,0.001052
18,683.349,0.87231,0.86664,1.24549,0.87804,0.78362,0.87285,0.54754,1.10316,0.9844,1.35533,0.00103962,0.00103962,0.00103962
19,721.155,0.86796,0.88138,1.25643,0.82797,0.72694,0.80635,0.53589,1.07706,0.97164,1.35103,0.00102725,0.00102725,0.00102725
