epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.499,1.07078,3.38844,1.3878,0.00603,0.89341,0.17866,0.09778,1.17768,3.50729,1.382,0.0002875,0.0002875,0.0002875
2,30.8182,1.02936,2.20331,1.34448,0.77345,0.03763,0.20139,0.10152,1.31617,3.34756,1.60976,0.000581684,0.000581684,0.000581684
3,43.2339,1.02842,1.74259,1.32163,0.77078,0.1838,0.34071,0.17269,1.3607,3.3076,1.80352,0.000869928,0.000869928,0.000869928
4,55.6392,1.06357,1.59514,1.31992,0.56709,0.13609,0.11154,0.06191,1.51188,3.44977,1.99754,0.00115223,0.00115223,0.00115223
5,67.9365,1.07296,1.51509,1.33303,0.35758,0.11728,0.02965,0.0126,1.71726,4.08516,2.35391,0.0012005,0.0012005,0.0012005
6,80.2294,1.02566,1.33997,1.29677,0.28319,0.43098,0.20031,0.11662,1.50017,4.99025,1.93796,0.00118812,0.00118812,0.00118812
7,92.5226,0.99833,1.24385,1.28742,0.3628,0.41521,0.33197,0.16138,1.60781,2.90265,1.84732,0.00117575,0.00117575,0.00117575
8,104.741,0.97952,1.13749,1.26087,0.3881,0.43864,0.28396,0.15525,1.40803,3.53428,1.72916,0.00116337,0.00116337,0.00116337
9,117.435,0.93956,1.04642,1.23778,0.64271,0.60963,0.64313,0.35288,1.39858,1.77668,1.58646,0.001151,0.001151,0.001151
10,130.055,0.92111,1.01611,1.23229,0.33791,0.47568,0.37246,0.21463,1.55558,3.13209,1.90231,0.00113863,0.00113863,0.00113863
11,142.421,0.89912,0.95644,1.21169,0.62603,0.48949,0.52263,0.30101,1.35698,2.84786,1.62309,0.00112625,0.00112625,0.00112625
12,154.673,0.89587,0.91625,1.20434,0.66646,0.39737,0.5194,0.30744,1.32018,3.11177,1.62251,0.00111388,0.00111388,0.00111388
13,166.952,0.87897,0.88826,1.19927,0.83172,0.56098,0.63307,0.39894,1.19032,1.61443,1.49335,0.0011015,0.0011015,0.0011015
14,179.235,0.85692,0.85086,1.1806,0.66383,0.47624,0.56849,0.34951,1.2232,1.99965,1.53482,0.00108913,0.00108913,0.00108913
15,191.518,0.8328,0.8078,1.16277,0.45339,0.49036,0.42516,0.23919,1.26648,2.52126,1.51756,0.00107675,0.00107675,0.00107675
16,203.865,0.81394,0.77702,1.14844,0.46776,0.65966,0.62533,0.42132,1.06954,2.1203,1.37234,0.00106437,0.00106437,0.00106437
17,216.098,0.82072,0.76655,1.15779,0.87787,0.71418,0.83536,0.55411,1.10289,1.01184,1.33089,0.001052,0.001052,0.001052
18,228.37,0.77192,0.72558,1.12448,0.76908,0.65061,0.7283,0.47356,1.24598,1.52912,1.52261,0.00103962,0.00103962,0.00103962
19,240.661,0.78905,0.72815,1.12915,0.71506,0.74045,0.76645,0.51222,1.13042,1.32661,1.38734,0.00102725,0.00102725,0.00102725
20,252.924,0.78604,0.71863,1.13556,0.61683,0.68608,0.61956,0.39927,1.24674,2.83083,1.55192,0.00101488,0.00101488,0.00101488
21,265.236,0.76403,0.67742,1.11288,0.75306,0.77138,0.78541,0.51845,1.10376,1.27428,1.39564,0.0010025,0.0010025,0.0010025
22,277.555,0.74108,0.67102,1.10781,0.66713,0.73192,0.77242,0.4816,1.14874,1.13057,1.40244,0.000990125,0.000990125,0.000990125
23,289.854,0.73807,0.64985,1.10103,0.82462,0.70009,0.78042,0.47289,1.17215,1.14465,1.41559,0.00097775,0.00097775,0.00097775
24,302.12,0.71122,0.63265,1.08686,0.80578,0.80269,0.84681,0.55282,1.06313,0.97097,1.3759,0.000965375,0.000965375,0.000965375
25,314.347,0.73827,0.65399,1.09855,0.82893,0.65695,0.73441,0.4682,1.20666,1.30119,1.4487,0.000953,0.000953,0.000953
26,326.574,0.71186,0.63305,1.08546,0.77952,0.78881,0.85278,0.5885,1.02285,0.98476,1.29206,0.000940625,0.000940625,0.000940625
27,338.922,0.69056,0.6154,1.07911,0.80659,0.55423,0.60469,0.374,1.35161,2.80041,1.5681,0.00092825,0.00092825,0.00092825
28,351.227,0.68446,0.61059,1.07195,0.80185,0.71198,0.79868,0.53295,1.14146,1.41499,1.37245,0.000915875,0.000915875,0.000915875
29,363.489,0.67435,0.58858,1.06233,0.78607,0.63645,0.70558,0.45706,1.21769,1.68708,1.48714,0.0009035,0.0009035,0.0009035
30,375.707,0.66721,0.57485,1.05867,0.84212,0.7732,0.85039,0.56185,1.03928,0.91488,1.33301,0.000891125,0.000891125,0.000891125
31,387.93,0.67105,0.57513,1.0603,0.77383,0.73999,0.79279,0.5105,1.14406,1.10151,1.43215,0.00087875,0.00087875,0.00087875
32,400.156,0.66212,0.57837,1.05822,0.85811,0.7584,0.82738,0.51138,1.10773,0.98021,1.38666,0.000866375,0.000866375,0.000866375
33,412.414,0.66828,0.56543,1.05712,0.73272,0.63558,0.69416,0.44256,1.2338,1.4846,1.53538,0.000854,0.000854,0.000854
34,424.669,0.6576,0.56301,1.05374,0.74064,0.60443,0.67206,0.45073,1.24942,1.73788,1.54564,0.000841625,0.000841625,0.000841625
