epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5741,1.11434,2.81537,1.39392,0.53176,0.40964,0.41318,0.22336,1.38823,2.84688,1.71639,0.000407197,0.000407197,0.000407197
2,39.3135,1.16772,1.41571,1.40872,0.15748,0.21901,0.08919,0.03718,1.95261,3.92817,2.39882,0.000815707,0.000815707,0.000815707
3,58.3139,1.2305,1.46639,1.46088,0.02873,0.07567,0.01476,0.00617,2.78527,7.85695,3.7943,0.00121597,0.00121597,0.00121597
4,77.0288,1.22601,1.4166,1.45209,0.25522,0.26679,0.14382,0.08076,1.95935,6.16632,2.76834,0.00121287,0.00121287,0.00121287
5,95.7044,1.1644,1.32733,1.41513,0.59315,0.56308,0.59419,0.31892,1.51612,2.20721,1.81733,0.0012005,0.0012005,0.0012005
6,114.52,1.14241,1.22916,1.39202,0.41325,0.37869,0.28976,0.16211,1.96903,3.83988,2.28642,0.00118812,0.00118812,0.00118812
7,133.372,1.11045,1.17297,1.3666,0.52042,0.48082,0.44618,0.27634,1.7064,3.3316,2.0668,0.00117575,0.00117575,0.00117575
8,152.24,1.07091,1.12196,1.34527,0.49869,0.57399,0.56222,0.31109,1.37334,3.02292,1.56967,0.00116337,0.00116337,0.00116337
9,170.995,1.02852,1.06108,1.30783,0.73974,0.55477,0.60149,0.35182,1.34114,1.89052,1.52292,0.001151,0.001151,0.001151
10,189.771,1.01566,1.02992,1.29963,0.81928,0.79988,0.8369,0.52178,1.15016,1.0236,1.35495,0.00113863,0.00113863,0.00113863
11,208.652,0.95876,0.93109,1.26114,0.70858,0.61814,0.67336,0.40198,1.22769,1.78085,1.38762,0.00112625,0.00112625,0.00112625
12,227.529,0.92659,0.90888,1.23453,0.70532,0.66823,0.73716,0.47515,1.21984,1.11001,1.37787,0.00111388,0.00111388,0.00111388
13,246.32,0.94364,0.88747,1.24963,0.76752,0.525,0.66011,0.37839,1.33216,1.65803,1.51529,0.0011015,0.0011015,0.0011015
14,265.025,0.91713,0.86969,1.2289,0.75457,0.62668,0.67797,0.43735,1.17714,1.19521,1.39351,0.00108913,0.00108913,0.00108913
15,283.723,0.8882,0.81764,1.20945,0.82244,0.73084,0.81822,0.49731,1.19913,1.1149,1.36997,0.00107675,0.00107675,0.00107675
16,302.435,0.84936,0.77969,1.18079,0.78701,0.71778,0.81671,0.53046,1.11189,1.08732,1.28076,0.00106437,0.00106437,0.00106437
17,321.268,0.83677,0.75274,1.17848,0.77137,0.75483,0.7733,0.49281,1.17744,1.09938,1.37138,0.001052,0.001052,0.001052
18,340.072,0.83904,0.78078,1.18431,0.77184,0.80676,0.82424,0.52345,1.06413,0.95468,1.25699,0.00103962,0.00103962,0.00103962
19,358.781,0.8197,0.73538,1.16527,0.85054,0.82205,0.868,0.55691,1.07733,0.86764,1.27471,0.00102725,0.00102725,0.00102725
20,377.549,0.79008,0.72193,1.15406,0.67702,0.72217,0.69834,0.45445,1.18198,1.42959,1.37626,0.00101488,0.00101488,0.00101488
21,396.223,0.80922,0.72662,1.15261,0.76934,0.72662,0.79959,0.51276,1.08602,0.98252,1.32124,0.0010025,0.0010025,0.0010025
22,414.916,0.766,0.67824,1.12853,0.85041,0.79751,0.85379,0.59555,1.04763,0.89514,1.2642,0.000990125,0.000990125,0.000990125
23,433.801,0.75163,0.6669,1.12216,0.8581,0.81407,0.85715,0.59146,1.06397,0.89581,1.30503,0.00097775,0.00097775,0.00097775
24,452.597,0.73893,0.6511,1.11446,0.85135,0.80872,0.86245,0.59862,1.0122,0.84605,1.24449,0.000965375,0.000965375,0.000965375
25,471.495,0.73469,0.6347,1.11461,0.82867,0.83804,0.87489,0.57598,1.03163,0.78868,1.24326,0.000953,0.000953,0.000953
26,490.243,0.7118,0.61792,1.09538,0.81639,0.80928,0.85695,0.59099,1.06223,0.81842,1.26089,0.000940625,0.000940625,0.000940625
27,508.951,0.72804,0.62574,1.1049,0.82592,0.73553,0.78181,0.52044,1.15586,1.18128,1.38457,0.00092825,0.00092825,0.00092825
28,527.655,0.70204,0.61227,1.09876,0.87576,0.75841,0.83683,0.56816,1.06393,1.00789,1.28612,0.000915875,0.000915875,0.000915875
29,546.398,0.69901,0.59216,1.0903,0.85704,0.76333,0.85002,0.57473,1.05658,0.91672,1.27532,0.0009035,0.0009035,0.0009035
30,565.268,0.70166,0.60217,1.09407,0.76562,0.72383,0.75446,0.52936,1.05849,1.17498,1.26415,0.000891125,0.000891125,0.000891125
